アーティチョーク		818
アーモンド(殻付か殻なし）		16095
アーモンド(殻付き)		8047
アスパラガス		2150
アップルジュース	りんごジュース	1141
アニス		8280
アバカ繊維		22654
アブラヤシ	油椰子	1098
アプリコット	あんず	1287
アボカド		1981
イチゴ	いちご、苺	347
イチジク		3350
イナゴマメ		5594
インゲン	うすい豆	561
エンドウ豆（乾燥）		1979
エンドウ豆（新鮮）		595
オート麦		1788
オート麦とそのミール		2536
オート麦フレークまたは粒		2416
オオバコ	大葉子	1602
オクラ		576
オリーブ		3015
オリーブオイル		14726
オレンジ		560
オレンジジュース		1018
お米とそのミール		2230
ガーキンきゅうり		353
ガーリック	にんにく、ニンニク	589
ガーリックパウダー		2265
カシューアップル		3793
カシューナッツ		14218
カッサバ（乾燥）		1610
カッサバ澱粉		2254
カッサバ粉		1878
カブ		195
カボチャ	南瓜	336
カラシの種子	からし種	2809
カリフラワー		285
カルダモン	ショウズク	34319
キウイ		514
キビ		4478
キマメ	ハトエンドウ	5494
キャッサバ	マニオク	564
キャッサバのタピオカ		2818
キャベツ		280
キュウリ	きゅうり,胡瓜	353
グアバ		1800
グズベリー	スグリ	526
クランベリー		276
クルミ（殻付き）		4918
クルミ（殻付き又は殻なし）		9280
グレープフルーツ		506
グレープフルーツジュース		675
クレメンタイン		748
クローブ		61205
コーヒーの生豆	グリーンコーヒー	15897
コーヒー豆（焙煎）		18925
コーラの木の実	コーラナッツ	23391
ココアパウダー		15636
ココアバター(脂肪と油)		33938
ココアペースト		24238
ココア豆		19928
ココナッツ、皮あり		1256
ココナッツ、皮なし		2687
ココナッツオイル		4490
ココナッツ繊維		2449
コットンリンター		2602
コプラ		2093
ごま油	ゴマ油,胡麻油	21793
ゴマ種子		9371
コリアンダー		8280
コリアンダーの種		8280
サイザル繊維		7824
サイザル麻		7041
ささげ豆（乾燥）	乾燥カウピー	6906
さつまいも	サツマイモ,薩摩イモ	383
サトウキビ	砂糖黍	210
サトウキビ糖蜜		527
サトウダイコン	テンサイ、甜菜	132
サヤエンドウ	さや豆	547
サワーチェリー	酸っぱいさくらんぼ	1411
シナモン		15526
ジャガイモ		287
ジャガイモのタピオカ		1436
ジャガイモ澱粉		1512
ジャガイモ粉とミール		1436
ジュート	ジュートの繊維	2605
しょうが	ジンジャー	1657
スイカ	西瓜	235
スカッシュ		336
そば	蕎麦	3142
ソラマメ（乾燥）		2018
ソルガム		3048
タバコ	煙草	2925
たまご	卵,玉子,タマゴ	3265
タマネギ（乾燥）		345
タマネギ（新鮮）		272
タロイモ		606
チーズ		5060
チェリー	桜桃,さくらんぼう	1604
チョコレート	チョコ	17196
トウモロコシ		1222
トウモロコシ（新鮮）		700
トウモロコシとそのミール		1081
トウモロコシ油		2575
トウモロコシ澱粉		1671
トウモロコシ粉		1253
トマト		214
トマト（乾燥）		4276
トマト（皮むき）		267
トマトケチャップ		534
トマトジュース		267
トマトジュース（濃縮）		1069
トマトピューレ		713
トマトペースト		855
ナス	茄子	362
ナツメ	棗	2277
ナツメグ		34319
ニンジン	人参	195
ネクタリン		910
バージンオリーブオイル		14431
パームオイル	パーム油	4971
パームナッツとカーネル		2868
パーム核油		5401
パイナップル		255
パイナップルジュース		1273
パスタ（乾燥）		1849
バター		5553
バディアン		8280
バナナ		790
バニラビーンズ		126505
パパイヤ		460
ピスタチオ		11363
ヒマシ油		24740
ひまし油種子		9896
ヒマワリの種	向日葵の種	3366
ヒマワリ種子油	向日葵種子油	6792
ひょうたん	ウリ、瓜	336
ひよこ豆		4177
ビンロウジュの実		11165
フェンネル		8280
ブドウ	葡萄	608
ぶどう（干し）		2433
ぶどう酒	葡萄酒	869
プラム	セイヨウスモモ	2180
ブルーベリー		845
ブロッコリー		285
ヘーゼルナッツ（殻付き）		5258
ヘーゼルナッツ（殻付き又は殻なし）		10515
ベニバナ種子	サフラワ種子	7221
ペパーミント		288
ほうれん草		292
ホップコーン		4065
ホップ抽出物		16259
ポテトフレーク		1044
ポピーシード		2188
マニラ繊維		20388
マンゴー		1800
マンゴスチン		1800
みかん	蜜柑	748
みかん	ミカン,蜜柑	748
メロン種子		5184
ヤムイモ		343
ライ麦		1544
ライ麦粉		1930
ラズベリー		413
ラミー	真麻	4507
リュウゼツラン繊維		6549
リンゴ(干し)		6847
リンゴ(新鮮な)		822
リンボク		2180
レタス		237
レモンとライム		642
レンズ豆	ヒラマメ	5874
亜麻の繊維		3783
亜麻仁		5168
亜麻仁油		9415
原料糖		865
原料糖きび		1666
唐辛子（乾燥）と胡椒		7365
唐辛子（新鮮）と胡椒		379
大豆		2145
大豆の豆腐		2523
大豆ペースト		572
大豆油		4190
大豆粉とそのミール		2523
大麦		1423
大麦（押し麦又はフレークの大麦）		1977
天然ゴム		13748
子羊の肉	ラム肉	10412
実綿	綿の種子	4029
小麦		1827
小麦グルテン	小麦麩質	4189
小麦のペレット		2036
小麦パン		1608
小麦澱粉		1436
小麦粉		1849
干しブドウ		499
果糖	フルクトース	1782
栗	くり	2750
桃	もも	910
梨	なし	922
水田米		1673
牛乳	ミルク	1020
牛乳粉	ミルクパウダー	4745
牛肉	ビーフ	15415
牛革		17093
玄米		2172
砕精米		2497
米粉		2628
精製砂糖		1782
綿のリント		9113
綿の種子		1332
綿の種子油		3957
綿織物	綿布、木綿織	9982
緑茶と紅茶		8856
羊肉	ヤギの肉	5521
芽キャベツ		285
菜種		2271
菜種油	種油	4301
落花生（殻なし）	殻なしピーナッツ	3974
落花生（殻付き）	殻付きピーナッツ	2782
落花生油		7529
豆(乾燥)		5053
豆乳		3763
豚肉	ブタ肉,ポーク	5988
醤油		613
鶏肉	チキン	4325
麦芽（未焙煎）		1950
麦芽（焙煎）		2437
麦芽ビール		298
麻の実		3685
麻繊維		2447
